id,title,url,source,source_type,stage,evidence_type,evidence_strength,evidence_maturity,healthcare_relevance,ai_modality,decision_type,payer_type,region,country,date,score,topics
5c5ed2beb99e,Improving laboratory workforce efficiency using AI-assisted digital cytology within an HPV-based cervical screening programme: A model-based evaluation for the NHS Cervical Screening Programmes.,https://pubmed.ncbi.nlm.nih.gov/42526933/,PubMed — AI × HTA/HEOR,Journal / evidence,heor,HEOR / value,Secondary evidence,2,Direct clinical,Clinical decision support,,,Europe,United Kingdom,2026-07-28,3,hta-value-evidence
f627e82e8339,Artificial Intelligence and the Financialization of Medical Knowledge.,https://pubmed.ncbi.nlm.nih.gov/42507464/,JAMA Network — AI in medicine,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,,,2026-07-27,1,ai-clinical-studies
cd52b9113469,The iPatient Meets the iDoctor.,https://pubmed.ncbi.nlm.nih.gov/42507375/,JAMA Network — AI in medicine,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,,,2026-07-27,1,ai-clinical-studies
b6b1ca565c25,GlycoQuest: An AI-Adaptive CGM-Integrated Serious Game for Pediatric Type 1 Diabetes,https://clinicaltrials.gov/study/NCT07726680,Digital therapeutic & device trials,Trial registry,clinical,Trial registry,Primary evidence,2,Direct clinical,Digital therapeutic,,,,Pakistan,2026-07-24,1,ai-clinical-studies;digital-therapeutics
dba0ff346b6c,"Advancements in Cardiac Magnetic Resonance Imaging: Innovations, Challenges, and Future Directions.",https://pubmed.ncbi.nlm.nih.gov/42534327/,PubMed — AI × HTA/HEOR,Journal / evidence,clinical,Review,Secondary evidence,1,Direct clinical,Imaging AI,,,,,2026-07-22,0,ai-clinical-studies;cardiology-ai;radiology-imaging-ai
ea9f521c5597,Research progress on the application of virtual simulation in medical education.,https://pubmed.ncbi.nlm.nih.gov/42540122/,PubMed — AI × HTA/HEOR,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,,,2026-07-17,0,ai-clinical-studies
83d1f55abae1,Strategies and challenges of toxicity reduction in nasopharyngeal carcinoma in the era of precision radiotherapy: from paradigm shift to integrated decision-making.,https://pubmed.ncbi.nlm.nih.gov/42534661/,PubMed — AI × HTA/HEOR,Journal / evidence,clinical,Review,Secondary evidence,1,Direct clinical,,,,,,2026-07-16,0,ai-clinical-studies
d35b66f283e7,Intersectional fairness in vision-language models for medical image disease classification,https://www.nature.com/articles/s41746-026-03030-5,npj Digital Medicine,Other,clinical,Journal study,Primary evidence,1,Direct clinical,Imaging AI,,,,,2026-08-03,2,ai-clinical-studies
073dceb70a50,"AI chatbots and youth suicide risk: current evidence, critical gaps, and a clinical research agenda",https://www.nature.com/articles/s41746-026-03080-9,npj Digital Medicine,Other,clinical,Commentary,Commentary,,Direct clinical,Generative AI / LLM,,,,,2026-08-01,2,ai-clinical-studies
2611f8175778,Digital versus in-person physical therapy for osteoarthritis pain and function,https://www.nature.com/articles/s41746-026-02998-4,npj Digital Medicine,Other,clinical,Journal study,Primary evidence,1,Direct clinical,,,,,,2026-08-01,2,ai-clinical-studies
8a73d46c7fbc,Health professions education (HPE) in the age of generative AI,https://www.nature.com/articles/s41746-026-03042-1,npj Digital Medicine,Other,clinical,Commentary,Commentary,,Direct clinical,Generative AI / LLM,,,,,2026-07-31,1,ai-clinical-studies
2eaaeece13b2,Learning from routine health system data builds better neuroimaging AI models,https://www.nature.com/articles/s41591-026-04567-4,Nature Medicine,Journal / evidence,clinical,Journal study,Primary evidence,1,Direct clinical,Imaging AI,,,,,2026-07-31,1,ai-clinical-studies;radiology-imaging-ai
cca829bd1dd0,End-to-end multimodal pathology foundation model with clinical dialogue,https://www.nature.com/articles/s41591-026-04521-4,Nature Medicine,Journal / evidence,clinical,Journal study,Primary evidence,1,Direct clinical,Imaging AI,,,,,2026-07-31,1,ai-clinical-studies;oncology-ai
465d1dd8349c,Reimagining regulatory strategy development: agentic AI as an enabler of market access.,https://pubmed.ncbi.nlm.nih.gov/42538231/,Lancet Digital Health,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,,,2026-07-31,1,ai-clinical-studies
a4477b605061,Identifying subsets of patients with retroperitoneal sarcoma who benefit from radiotherapy: an Interpretable AI reanalysis of the STRASS randomised trial.,https://pubmed.ncbi.nlm.nih.gov/42509079/,Lancet Digital Health,Journal / evidence,clinical,RCT,Primary evidence,3,Direct clinical,,,,,,2026-07-27,1,ai-clinical-studies
d14743549d64,Medical Devices; General Hospital and Personal Use Devices; Classification of the Diabetes Digital Behavioral Therapeutic Device,https://www.federalregister.gov/documents/2026/07/24/2026-14986/medical-devices-general-hospital-and-personal-use-devices-classification-of-the-diabetes-digital,FDA — digital health & devices,Regulator,regulation,Regulatory authorisation,Policy signal,,Direct clinical,Digital therapeutic,,,North America,United States,2026-07-24,5,regulatory-activity
fefc461c0234,Global health suffers when corporate AI sovereigns reign.,https://pubmed.ncbi.nlm.nih.gov/42498610/,Lancet Digital Health,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,,,2026-07-24,0,ai-clinical-studies
a287b6085690,Artificial intelligence as a new commercial determinant of health.,https://pubmed.ncbi.nlm.nih.gov/42486623/,BMJ — AI in medicine,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,,,2026-07-22,0,ai-clinical-studies
14361a9e6eae,ListS_SFOPH-AI use for skin cancer,https://www.inahta.org/download/lists_sfoph-ai-use-for-skin-cancer/,INAHTA (HTA network),Other,heor,HEOR / value,Secondary evidence,2,Direct clinical,,,,,,2026-07-17,2,hta-value-evidence;oncology-ai
cbdecb4f7ac1,Towards a framework for implementing artificial intelligence in clinical medicine.,https://pubmed.ncbi.nlm.nih.gov/42457246/,BMJ — AI in medicine,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,,,2026-07-15,0,ai-clinical-studies
311fc170237f,"Weekly OHDSI Digest – July 13, 2026",https://www.ohdsi.org/weekly-ohdsi-digest-july-13-2026/,OHDSI Blog,Other,industry,Industry news,Market signal,,Adjacent AI,Generative AI / LLM,,,,,2026-07-13,0,
ecc93aeba881,Explainable machine learning revealing the impact of mental and physical health on arthritis.,https://pubmed.ncbi.nlm.nih.gov/42419862/,BMJ — AI in medicine,Journal / evidence,clinical,Journal study,Primary evidence,1,Direct clinical,Predictive ML,,,Europe,European Union,2026-07-08,0,ai-clinical-studies
3ae1e8ab7522,LLM-Assisted Reanalysis of Unsolved Rare Disease Genomes Increases Diagnostic Yield.,https://pubmed.ncbi.nlm.nih.gov/42529462/,NEJM AI,Journal / evidence,clinical,Journal study,Primary evidence,1,Direct clinical,Generative AI / LLM,,,,,2026-07-01,0,ai-clinical-studies
28711e49cad3,SmartAlert - Implementing Machine Learning-Driven Clinical Decision Support for Inpatient Laboratory Utilization Reduction.,https://pubmed.ncbi.nlm.nih.gov/42453199/,NEJM AI,Journal / evidence,clinical,Journal study,Primary evidence,1,Direct clinical,Clinical decision support,,,,,2026-07-01,0,ai-clinical-studies
2f884c561feb,Going beyond algorithmic fairness in health care.,https://pubmed.ncbi.nlm.nih.gov/42509076/,Lancet Digital Health,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,Predictive ML,,,,,2026-07-01,0,ai-clinical-studies
51d68ab779f3,Integrating Human and Artificial Intelligence for Robust Postmarketing Safety Surveillance Systems: Reflections From the FDA Sentinel Innovation Center,https://www.sentinelinitiative.org/news-events/publications-presentations/integrating-human-and-artificial-intelligence-robust,FDA Sentinel (real-world evidence),Regulator,heor,Real-world evidence,Primary evidence,4,Direct clinical,,,,North America,United States,,5,hta-value-evidence
1418dafe43de,"Digital Health, Devices, and Diagnostics",https://www.ispor.org/heor-resources/heor-by-topic-new/digital-health-devices-and-diagnostics,ISPOR — AI Strategic Initiative,Other,heor,HEOR / value,Secondary evidence,2,Direct clinical,,,,,,,2,hta-value-evidence
